Country,Region,Population,Area (sq. mi.),Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Crops (%),Climate,Birthrate,Deathrate,Agriculture
Macau ,ASIA (EX. NEAR EAST)         ,453125,28,"4,39",19400,"94,5",0,2,"8,48","4,47","0,001"
Macedonia ,EASTERN EUROPE                     ,2050554,25333,"10,09",6700,,"1,81",3,"12,02","8,77","0,118"
Madagascar ,SUB-SAHARAN AFRICA                 ,18595469,587040,"76,83",800,"68,9","1,03",2,"41,41","11,11","0,276"
Malawi ,SUB-SAHARAN AFRICA                 ,13013926,118480,"103,32",600,"62,7","1,49",2,"43,13","19,33","0,342"
Malaysia ,ASIA (EX. NEAR EAST)         ,24385858,329750,"17,7",9000,"88,7","17,61",2,"22,86","5,05","0,084"
Maldives ,ASIA (EX. NEAR EAST)         ,359008,300,"56,52",3900,"97,2","16,67",2,"34,81","7,06","0,2"
Mali ,SUB-SAHARAN AFRICA                 ,11716829,1240000,"116,79",900,"46,4","0,03",2,"49,82","16,89","0,45"
Malta ,WESTERN EUROPE                     ,400214,316,"3,89",17700,"92,8","3,13",,"10,22","8,1","0,03"
Marshall Islands ,OCEANIA                            ,60422,11854,"29,45",1600,"93,7","38,89",2,"33,05","4,78","0,317"
Martinique ,LATIN AMER. & CARIB    ,436131,1100,"7,09",14400,"97,7","9,43",2,"13,74","6,48","0,06"
Mauritania ,SUB-SAHARAN AFRICA                 ,3177388,1030700,"70,89",1800,"41,7","0,01",1,"40,99","12,16","0,25"
Mauritius ,SUB-SAHARAN AFRICA                 ,1240827,2040,"15,03",11400,"85,6","2,96",2,"15,43","6,86","0,059"
Mayotte ,SUB-SAHARAN AFRICA                 ,201234,374,"62,4",2600,,,2,"40,95","7,7",
Mexico ,LATIN AMER. & CARIB    ,107449525,1972550,"20,91",9000,"92,2","1,31","1,5","20,69","4,74","0,038"
"Micronesia, Fed. St. ",OCEANIA                            ,108004,702,"30,21",2000,"89,0","45,71",2,"24,68","4,75","0,289"
Moldova ,C.W. OF IND. STATES ,4466706,33843,"40,42",1800,"99,1","10,79",,"15,7","12,64","0,213"
Monaco ,WESTERN EUROPE                     ,32543,2,"5,43",27000,"99,0",0,,"9,19","12,91","0,17"
Mongolia ,ASIA (EX. NEAR EAST)         ,2832224,1564116,"53,79",1800,"97,8",0,1,"21,59","6,95","0,206"
Montserrat ,LATIN AMER. & CARIB    ,9439,102,"7,35",3400,"97,0",0,2,"17,59","7,1",
Morocco ,NORTHERN AFRICA                    ,33241259,446550,"41,62",4000,"51,7","2,17",,"21,98","5,58","0,217"
Mozambique ,SUB-SAHARAN AFRICA                 ,19686505,801590,"130,79",1200,"47,8","0,3",2,"35,18","21,35","0,262"
Namibia ,SUB-SAHARAN AFRICA                 ,2044147,825418,"48,98",7200,"84,0",0,1,"24,32","18,86","0,097"
Nauru ,OCEANIA                            ,13287,21,"9,95",5000,,0,2,"24,76","6,7",
Nepal ,ASIA (EX. NEAR EAST)         ,28287147,147181,"66,98",1400,"45,2","0,64",,"30,98","9,31","0,38"
Netherlands ,WESTERN EUROPE                     ,16491461,41526,"5,04",28600,"99,0","0,97",3,"10,9","8,68","0,021"
Netherlands Antilles ,LATIN AMER. & CARIB    ,221736,960,"10,03",11400,"96,7",0,2,"14,78","6,45","0,01"
New Caledonia ,OCEANIA                            ,219246,19060,"7,72",15000,"91,0","0,33",2,"18,11","5,69","0,15"
New Zealand ,OCEANIA                            ,4076140,268680,"5,85",21600,"99,0","6,99",3,"13,76","7,53","0,043"
Nicaragua ,LATIN AMER. & CARIB    ,5570129,129494,"29,11",2300,"67,5","1,94",2,"24,51","4,45","0,165"
Niger ,SUB-SAHARAN AFRICA                 ,12525094,1267000,"121,69",800,"17,6","0,01",1,"50,73","20,91","0,39"
Nigeria ,SUB-SAHARAN AFRICA                 ,131859731,923768,"98,8",900,"68,0","2,96","1,5","40,43","16,94","0,269"
N. Mariana Islands ,OCEANIA                            ,82459,477,"7,11",12500,"97,0","4,35",2,"19,43","2,29",
Norway ,WESTERN EUROPE                     ,4610820,323802,"3,7",37800,"100,0",0,3,"11,46","9,4","0,021"
Oman ,NEAR EAST                          ,3102229,212460,"19,51",13100,"75,8","0,14",1,"36,24","3,81","0,027"
Pakistan ,ASIA (EX. NEAR EAST)         ,165803560,803940,"72,44",2100,"45,7","0,87",1,"29,74","8,23","0,216"
Palau ,OCEANIA                            ,20579,458,"14,84",9000,"92,0","4,35",2,"18,03","6,8","0,062"
Panama ,LATIN AMER. & CARIB    ,3191319,78200,"20,47",6300,"92,6","1,98",2,"21,74","5,36","0,068"
Papua New Guinea ,OCEANIA                            ,5670544,462840,"51,45",2200,"64,6","1,44",2,"29,36","7,25","0,353"
Paraguay ,LATIN AMER. & CARIB    ,6506464,406750,"25,63",4700,"94,0","0,23",2,"29,1","4,49","0,224"
Peru ,LATIN AMER. & CARIB    ,28302603,1285220,"31,94",5100,"90,9","0,4","1,5","20,48","6,23","0,08"
Philippines ,ASIA (EX. NEAR EAST)         ,89468677,300000,"23,51",4600,"92,6","16,77",2,"24,89","5,41","0,144"
Poland ,EASTERN EUROPE                     ,38536869,312685,"8,51",11100,"99,8","1,12",3,"9,85","9,89","0,05"
Portugal ,WESTERN EUROPE                     ,10605870,92391,"5,05",18000,"93,3","7,81",3,"10,72","10,5","0,053"
Puerto Rico ,LATIN AMER. & CARIB    ,3927188,13790,"8,24",16800,"94,1","5,52",2,"12,77","7,65","0,01"
Qatar ,NEAR EAST                          ,885359,11437,"18,61",21500,"82,5","0,27",1,"15,56","4,72","0,002"
Reunion ,SUB-SAHARAN AFRICA                 ,787584,2517,"7,78",5800,"88,9","1,2",2,"18,9","5,49","0,08"
Romania ,EASTERN EUROPE                     ,22303552,237500,"26,43",7000,"98,4","2,25",3,"10,7","11,77","0,101"
Russia ,C.W. OF IND. STATES ,142893540,17075200,"15,39",8900,"99,6","0,11",,"9,95","14,65","0,054"
Rwanda ,SUB-SAHARAN AFRICA                 ,8648248,26338,"91,23",1300,"70,4","12,16",3,"40,37","16,09","0,401"
Saint Helena ,SUB-SAHARAN AFRICA                 ,7502,413,19,2500,"97,0",0,,"12,13","6,53",
